,< 20,20-40,40-60,60-80,80-100,100-120,120-140,>140
Half-size or compact,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Small (less than 17.6 cubic feet),2.4,1.9,0.9,0.6,0.3,0.0,0.0,0.3
Medium (17.6 to 22.5 cubic feet),12.5,15.4,10.5,7.8,4.2,3.1,2.0,3.7
Large (22.6 to 29.5 cubic feet),6.5,9.2,7.0,6.7,5.0,4.7,3.1,6.6
Very large (more than 29.5 cubic feet),0.0,0.3,0.2,0.0,0.2,0.2,0.0,0.6
Do not use a refrigerator,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
